"GEOID","ls","p","borough"
"36005000200",0.444978312344591,0.000579163676485384,"Bronx"
"36005000400",0.464416222541516,0.000747257073788875,"Bronx"
"36005001600",0.483461046063813,0.000715216166288426,"Bronx"
"36005001901",0.320211824413687,0.000253657184378553,"Bronx"
"36005001902",0.310578590877381,0.00017513268758768,"Bronx"
"36005002001",0.610132388800225,0.000489473408898901,"Bronx"
"36005002300",0.651189944705784,0.000543481756768975,"Bronx"
"36005002500",0.550189555737666,0.000677228272168576,"Bronx"
"36005002701",0.637681277838522,0.000404759191340896,"Bronx"
"36005002702",0.682033918852667,0.000600038813190222,"Bronx"
"36005002800",0.716656686138776,0.000634749796315708,"Bronx"
"36005003100",0.435362016178634,0.000301233077333764,"Bronx"
"36005003300",0.564031277237823,0.000420294176795659,"Bronx"
"36005003500",0.642742871869421,0.000460830779466682,"Bronx"
"36005003800",0.638998774357506,0.000143455881308827,"Bronx"
"36005003900",0.913410681186304,0.000747499807936606,"Bronx"
"36005004001",0.355916852549423,0.000165180587530723,"Bronx"
"36005004100",0.616358192203329,0.000798959447255508,"Bronx"
"36005004200",0.662211546832253,0.000992661297144585,"Bronx"
"36005004300",0.612646860163517,0.000662057387935409,"Bronx"
"36005004400",0.489229512213292,0.000540933048217803,"Bronx"
"36005004600",0.589296086911321,0.000211906910968877,"Bronx"
"36005004800",0.687828968346932,0.000512411785859449,"Bronx"
"36005005001",0.545550220825753,0.00055064241412703,"Bronx"
"36005005002",0.692282192271162,0.000769103147084635,"Bronx"
"36005005100",0.6002898703802,0.000769588615380097,"Bronx"
"36005005200",0.672538514057585,0.000232296579378253,"Bronx"
"36005005300",0.631559935723192,0.000619821646230272,"Bronx"
"36005005400",0.601192006565067,0.000654532629355758,"Bronx"
"36005005600",0.54730383094998,0.000253414450230822,"Bronx"
"36005005902",0.329414988459288,0.000354877323982243,"Bronx"
"36005006000",0.987459804572618,0.000157413094803341,"Bronx"
"36005006100",0.849380448848239,0.000468234170972467,"Bronx"
"36005006200",0.610518629518412,0.000754539098220795,"Bronx"
"36005006301",0.215301885426708,0.000703443560123489,"Bronx"
"36005006400",0.448766051241938,0.000459253007506432,"Bronx"
"36005006500",0.396871777653487,0.000682689790492516,"Bronx"
"36005006700",0.752807417053846,0.000797017574073663,"Bronx"
"36005006800",0.524836647731375,0.00026178877832753,"Bronx"
"36005006900",0.634167884056377,0.000850783187796007,"Bronx"
"36005007000",0.292381657714132,0.000402453216937455,"Bronx"
"36005007100",0.511207260481618,0.000346867097107131,"Bronx"
"36005007200",0.391165743426661,0.000718007608987329,"Bronx"
"36005007300",0.577764642107942,0.000518844240774312,"Bronx"
"36005007400",0.598561850210545,0.000376359296056408,"Bronx"
"36005007500",0.639825384038404,0.000795803903335009,"Bronx"
"36005007600",0.361827330906015,0.000602466154667529,"Bronx"
"36005007700",0.680225131638496,0.000262152879549126,"Bronx"
"36005007800",0.326424940605527,0.000653318958617105,"Bronx"
"36005007900",0.728460212993932,0.000848719947540296,"Bronx"
"36005008300",0.725305162849537,0.000789735549641743,"Bronx"
"36005008400",0.364656011379312,0.00034116284463546,"Bronx"
"36005008500",0.558286760052258,0.000666790703816157,"Bronx"
"36005008600",0.596704260236655,0.000481827283245385,"Bronx"
"36005008700",0.705756855865867,0.000809397015607927,"Bronx"
"36005008900",0.804060675155185,0.000375752460687081,"Bronx"
"36005009000",0.495958474820645,0.000446873565972168,"Bronx"
"36005009200",0.32585905418982,0.000695190599100646,"Bronx"
"36005009301",0.584018112568507,0.000614845596201793,"Bronx"
"36005009600",0.210641051998829,0.000315311657902143,"Bronx"
"36005009800",0.425234402525828,0.000511319482194661,"Bronx"
"36005011502",0.630670512948893,0.000506950267535509,"Bronx"
"36005011701",0.688152320882349,0.000178652332729775,"Bronx"
"36005011800",0.337985218792087,0.0006932487259188,"Bronx"
"36005011900",0.565152909731308,0.00072553236756698,"Bronx"
"36005012101",0.596346469999811,0.000406458330375011,"Bronx"
"36005012102",0.74939211445538,0.000158384031394264,"Bronx"
"36005012300",0.617464984205806,0.000596519168048127,"Bronx"
"36005012500",0.716187200679435,0.000467020500233814,"Bronx"
"36005012701",0.725592162359905,0.000291887812646134,"Bronx"
"36005012901",0.510085866852029,0.000659994147679698,"Bronx"
"36005013000",0.459955191944633,0.000153165247218054,"Bronx"
"36005013100",0.501509124560797,0.000585232030178651,"Bronx"
"36005013200",0.0934874138415527,0.000870323286688326,"Bronx"
"36005013300",0.637530046101118,0.00071485206506683,"Bronx"
"36005013500",0.494159975467406,0.000375752460687081,"Bronx"
"36005013800",0.125258477521528,0.000354755956908378,"Bronx"
"36005014100",0.538758261669548,0.000835248202341244,"Bronx"
"36005014300",0.48790365159529,0.000196493292587979,"Bronx"
"36005014400",0.552555119774955,0.000731600721260247,"Bronx"
"36005014500",0.624206628524653,0.000778205677624536,"Bronx"
"36005014701",0.636550502560587,0.000644095061003339,"Bronx"
"36005014702",0.619300665117935,0.000634992530463439,"Bronx"
"36005014900",0.516224391605209,0.000556589400746432,"Bronx"
"36005015100",0.663226635323553,0.000618607975491619,"Bronx"
"36005015200",0.242080093748343,0.000305723659066782,"Bronx"
"36005015300",0.580575315430552,0.000503187888245684,"Bronx"
"36005015500",0.54347238240076,0.000354149121539051,"Bronx"
"36005015700",0.570445723176149,0.000610961849838102,"Bronx"
"36005015800",0.20822331827463,0.000177317294917256,"Bronx"
"36005015900",0.771657986342231,0.000269192169833316,"Bronx"
"36005016000",0.384922247716527,0.000465685462421295,"Bronx"
"36005016100",0.517099389834842,0.000533408289638153,"Bronx"
"36005016200",0.130472395305612,0.000213484682929126,"Bronx"
"36005016400",0.0688167131124829,0.000123794415342643,"Bronx"
"36005016500",0.702864935615173,0.000132896945882543,"Bronx"
"36005016600",0.238362400776841,0.000279508371111869,"Bronx"
"36005016700",0.602252704863777,0.000427212100005983,"Bronx"
"36005016900",0.612884727847335,0.000216397492701894,"Bronx"
"36005017300",0.362154277319424,0.000766918539755059,"Bronx"
"36005017500",0.494210346368251,0.000739732315209224,"Bronx"
"36005017701",0.494426880977026,0.000572488487422791,"Bronx"
"36005017702",0.546787841277781,0.000628802809696307,"Bronx"
"36005017901",0.601036204190152,0.000617151570605235,"Bronx"
"36005017902",0.558242477142687,0.000463136753870123,"Bronx"
"36005018102",0.540604943546031,0.000641910453673763,"Bronx"
"36005018301",0.28376618455286,0.000553433856825933,"Bronx"
"36005018302",0.610333774202858,0.000443353920830073,"Bronx"
"36005018400",0.206704320783675,0.000495784496739898,"Bronx"
"36005018501",0.549119283641926,0.000326234694550024,"Bronx"
"36005018502",0.531753006523316,0.000724318696828326,"Bronx"
"36005018900",0.365508669878916,0.000991933094701393,"Bronx"
"36005019300",0.521703117642731,0.00069664700398703,"Bronx"
"36005019400",0.192447767056577,0.000244554653838652,"Bronx"
"36005019500",0.413057635854132,0.000827602076687728,"Bronx"
"36005019700",0.629462895977153,0.000944599935893912,"Bronx"
"36005019900",0.580321740633236,0.000878697614785034,"Bronx"
"36005020000",0.441679012602671,0.000570061145945484,"Bronx"
"36005020100",0.553066696791017,0.00046762733560314,"Bronx"
"36005020200",0.390424794910729,0.000309850139578203,"Bronx"
"36005020400",0.406662062283697,0.000340798743413864,"Bronx"
"36005020501",0.673367456008614,0.000876391640381593,"Bronx"
"36005020502",0.585798885775014,0.000306937329805435,"Bronx"
"36005020601",0.379572064758961,0.000283513484549425,"Bronx"
"36005020900",0.478343355349315,0.000579406410633115,"Bronx"
"36005021001",0.418376298482421,0.000948847783479198,"Bronx"
"36005021002",0.368711827557937,0.000933434165098301,"Bronx"
"36005021100",0.561487368311143,0.000740824618874012,"Bronx"
"36005021200",0.397300250756808,0.000591179016798053,"Bronx"
"36005021301",0.649137223173995,0.00016056863872384,"Bronx"
"36005021302",0.620968006046446,0.000705385433305334,"Bronx"
"36005021501",0.54438421464758,0.000564114159326083,"Bronx"
"36005021502",0.713031269769093,0.00083197129134688,"Bronx"
"36005021601",0.388262833650656,0.000526854467649424,"Bronx"
"36005021602",0.345699976016603,0.000697860674725683,"Bronx"
"36005021700",0.388102823259211,0.000614238760832466,"Bronx"
"36005021800",0.493795580596355,0.000697375206430222,"Bronx"
"36005021900",0.58911514131799,0.000115177353098204,"Bronx"
"36005022000",0.597734695878018,0.000258511867333166,"Bronx"
"36005022101",0.579603778319464,0.000504887027279799,"Bronx"
"36005022102",0.693515216420243,0.000738518644470571,"Bronx"
"36005022200",0.473853547971512,0.000386796864408826,"Bronx"
"36005022300",0.772404220563626,0.000642031820747628,"Bronx"
"36005022401",0.22667094782787,0.000314704822532817,"Bronx"
"36005022403",0.324985305756948,0.000358882437419799,"Bronx"
"36005022404",0.240163635794547,0.000554768894638452,"Bronx"
"36005022500",0.560603226681109,0.00109254639893576,"Bronx"
"36005022701",0.561949232126211,0.000569575677650023,"Bronx"
"36005022702",0.739410055417339,0.000166151524121645,"Bronx"
"36005022703",0.53827871131361,0.000248802501423939,"Bronx"
"36005022800",0.0985214844093793,0.0006568386037592,"Bronx"
"36005022901",0.528047984230671,0.000634142960946382,"Bronx"
"36005022902",0.611251149188744,0.000418109569466083,"Bronx"
"36005023000",0.16531210314892,0.000329997073839849,"Bronx"
"36005023100",0.438948036579264,0.000203168481650573,"Bronx"
"36005023200",0.105827089706152,0.000276231460117505,"Bronx"
"36005023301",0.572038366083459,0.000467263234381544,"Bronx"
"36005023302",0.676882515567345,0.000423571087790023,"Bronx"
"36005023501",0.832617535774054,0.000399783141312417,"Bronx"
"36005023502",0.681352962902579,0.000534500593302941,"Bronx"
"36005023600",0.2724020952118,0.000205717190201745,"Bronx"
"36005023702",0.551312949357513,0.000139450767871271,"Bronx"
"36005023703",0.720774280357172,0.000627467771883788,"Bronx"
"36005023704",0.708028466102552,0.000439834275687978,"Bronx"
"36005023800",0.227326335799142,0.000275139156452717,"Bronx"
"36005023900",0.67374426664853,0.00110759591609506,"Bronx"
"36005024000",0.191925946661699,0.000530495479865384,"Bronx"
"36005024100",0.420731443726094,0.000748592111601394,"Bronx"
"36005024300",0.673499059977797,0.00060295162296299,"Bronx"
"36005024400",0.279359429449472,0.000262638347844588,"Bronx"
"36005024501",0.578132267447915,0.000572609854496656,"Bronx"
"36005024502",0.637919079035167,0.000454155590404088,"Bronx"
"36005024600",0.11554591917943,0.000231689744008927,"Bronx"
"36005024700",0.431763089215855,0.000232782047673715,"Bronx"
"36005024800",0.100631075686572,0.000386918231482692,"Bronx"
"36005025000",0.248162840981154,0.000300868976112168,"Bronx"
"36005025100",0.460036400270459,0.000777356108107478,"Bronx"
"36005025200",0.127289412778597,0.000292980116310922,"Bronx"
"36005025300",0.753655419327959,0.000702593990606431,"Bronx"
"36005025400",0.235240022307321,0.000236058958668079,"Bronx"
"36005025500",0.848132463191031,0.00086474040129052,"Bronx"
"36005025600",0.291670645706996,0.000185206154718503,"Bronx"
"36005025700",0.673419760480948,0.000206324025571072,"Bronx"
"36005026100",0.368815570280889,0.000236180325741944,"Bronx"
"36005026300",0.692106583079052,0.000837918277966281,"Bronx"
"36005026400",0.16910101790647,0.000730022949299997,"Bronx"
"36005026500",0.781721620789042,0.000872629261091767,"Bronx"
"36005026601",0.34933602176618,0.000354149121539051,"Bronx"
"36005026602",0.118155404210584,0.000639968580491918,"Bronx"
"36005026701",0.413860901510763,0.000431824048812866,"Bronx"
"36005026702",0.762775529226393,0.000955037504246331,"Bronx"
"36005026900",0.703400408187029,0.000478550372251021,"Bronx"
"36005027300",0.453535711530473,0.000890712955097702,"Bronx"
"36005027401",0.396297382803007,0.000588023472877554,"Bronx"
"36005027402",0.342540912593139,0.000371261878954063,"Bronx"
"36005027700",0.585512058335176,0.000490201611342093,"Bronx"
"36005027900",0.280449779251394,0.000889499284359049,"Bronx"
"36005028100",0.107828001597692,0.000416046329210372,"Bronx"
"36005028500",0.135492699618316,0.000432188150034462,"Bronx"
